s_agency_code, zip_code, state, city, address, longitude, latitude, arb_code, name
"001", "95642", "CA", "Jackson", "201 Clinton Rd", "-120.76443", "38.34261", "03614", "Jackson-Clinton Road"
"001", "95948", "CA", "Gridley", "608 Cowee Av", "-121.66881", "39.32756", "04636", "Gridley"
"001", "95249", "CA", "San Andreas", "501 Gold Strike Rd", "-120.68028", "38.20185", "05633", "San Andreas-Gold Strike Road"
"001", "95932", "CA", "Colusa", "100 Sunrise Blvd", "-121.99887", "39.18919", "06646", "Colusa-Sunrise Blvd"
"004", "94553", "CA", "Martinez", "521 Jones St", "-122.13446", "38.01285", "07434", "Martinez-Jones Street"
"004", "94525", "CA", "Crockett", "Kendall Av", "-122.23321", "38.05492", "07437", "Crockett-Kendall Avenue"
"004", "94518", "CA", "Concord", "2956-A Treat Blvd.", "-122.02620", "37.93600", "07448", "Concord"
"004", "94805", "CA", "Richmond", "7th St", "-122.36485", "37.94816", "07441", "Richmond-7th Street"
"004", "94511", "CA", "Bethel Island", "5551 Bethel Island Rd", "-121.64191", "38.00630", "07442", "Bethel Island Road"
"001", "95667", "CA", "Placerville", "3111 Gold Nugget Way", "-120.82192", "38.72528", "09690", "Placerville-Gold Nugget Way"
"001", "96150", "CA", "South Lake Tahoe", "3337 Sandy Way", "-119.97061", "38.94498", "09691", "South Lake Tahoe-Sandy Way"
"001", "95614", "CA", "Cool", "1400 American River Trail", "-121.00337", "38.89094", "09693", "Cool (seasonal)"
"001", "95721", "CA", "Little Norway", "21200 US Hwy 50", "-120.03308", "38.81161", "09695", "Echo Summit (seasonal)"
"069", "93726", "CA", "Fresno", "1716 S. Winery Ave", "-119.73249", "36.72622", "10025", "Fresno - Pacific"
"069", "93648", "CA", "Parlier", "9240 S. Riverbend Av", "-119.50369", "36.59744", "10230", "Parlier"
"069", "93725", "CA", "Fresno", "4706 E. Drummond Ave", "-119.74139", "36.70556", "10244", "Fresno - Drummond"
"069", "93722", "CA", "Fresno", "4508 Chennault Ave", "-119.87444", "36.84155", "10245", "Fresno - Skypark"
"069", "93612", "CA", "Clovis", "908 N. Villa Av", "-119.71639", "36.81931", "10248", "Clovis-N Villa Avenue"
"009", "92243", "CA", "El Centro", "150 9th St", "-115.56299", "32.79215", "13694", "El Centro-9th Street"
"009", "92281", "CA", "Westmorland", "570 Cook St.", "-115.62362", "33.03239", "13697", "Westmorland"
"001", "92231", "CA", "Calexico", "1029 Belcher St", "-115.48307", "32.67618", "13698", "Calexico-Ethel Street"
"009", "92257", "CA", "Niland", "7711 English Road", "-115.54514", "33.21349", "13997", "Niland-English Road"
"815", "92328", "CA", "Death Valley", "Death Valley (near Furnace Creek)", "-116.84767", "36.50881", "14151", "Death Valley Natl Monument"
"022", "93549", "CA", "Coso Junction", "Highway 395 Rest Area", "-117.94399", "36.04945", "14696", "Coso Junction - Hwy. 395"
"022", "93545", "CA", "Lone Pine", "501 E. Locust Street", "-118.05783", "36.60897", "14699", "Lone Pine-E Locust Street"
"022", "93549", "CA", "Coso Junction", "Coso Gate", "-117.86148", "36.05728", "14724", "Coso Junction - Gate"
"022", "93530", "CA", "Keeler", "190 Cerro Gordo Rd", "-117.87104", "36.48785", "14728", "Keeler-Cerro Gordo Road"
"022", "93549", "CA", "Olancha", "131 Walker Creek Rd", "-117.99298", "36.26756", "14729", "Olancha-Walker Creek"
"022", "93549", "CA", "Coso Junction", "Dirty Socks Pool Hwy 190", "-117.95509", "36.32613", "14022", "Dirty Socks"
"001", "93320", "CA", "Edison", "Johnson Farm-Shed Rd", "-118.85183", "35.34561", "15242", "Edison"
"001", "93308", "CA", "Oildale", "3311 Manor St", "-119.01679", "35.43804", "15243", "Oildale"
"069", "93352", "CA", "Maricopa", "755 Stanislaus Street", "-119.40263", "35.05156", "15246", "Maricopa"
"001", "93263", "CA", "Shafter", "578 Walker St", "-119.27264", "35.50349", "15248", "Shafter"
"001", "93501", "CA", "Mojave", "923 Poole St", "-118.14778", "35.05045", "15252", "Mojave"
"001", "93309", "CA", "Bakersfield", "5558 California Ave", "-119.06261", "35.35662", "15255", "Bakersfield-California Avenue"
"069", "93301", "CA", "Bakersfield", "2820 M Street", "-119.01500", "35.38562", "15256", "Bakersfield-Golden"
"001", "93307", "CA", "Bakersfield", "401 E. Planz Rd.", "-118.99763", "35.32464", "15258", "Bakersfield - Airport"
"024", "93555", "CA", "Ridgecrest", "100 W California Av", "-117.67296", "35.62109", "15300", "Ridgecrest - California Av"
"069", "93230", "CA", "Hanford", "807 S Irwin St", "-119.64323", "36.31572", "16716", "Hanford-S Irwin Street"
"069", "93212", "CA", "Corcoran", "1520 Patterson Av", "-119.56564", "36.10220", "16719", "Corcoran-Patterson Avenue"
"026", "95463", "CA", "Lakeport", "905 Lakeport Blvd", "-122.92229", "39.03270", "17713", "Lakeport-Lakeport Blvd"
"026", "95426", "CA", "Cobb", "9302 Fox Dr", "-122.73620", "38.85022", "17725", "Hobergs-Pine Summit"
"026", "95426", "CA", "Cobb", "High Valley Road", "-122.75797", "38.84846", "17728", "Glenbrook"
"069", "93637", "CA", "Madera", "Av 8 and Road 29 1/2", "-120.01011", "36.86719", "20211", "Madera - Pump Yard"
"004", "94901", "CA", "San Rafael", "534 4th St", "-122.52011", "37.97230", "21451", "San Rafael"
"001", "95389", "CA", "Yosemite National Park", "Visitors Center, Yosemite Village", "-119.58709", "37.74871", "22742", "Yosemite Village - Visitor Center"
"001", "95338", "CA", "Mariposa", "6440 Jerseydale", "-119.83957", "37.54377", "22744", "Jerseydale"
"815", "95389", "CA", "Yosemite National Park", "Turtleback Dome", "-119.70624", "37.71314", "22746", "Yosemite Natl Park-Turtleback"
"029", "95482", "CA", "Ukiah", "105 N. Main St", "-123.20655", "39.15047", "23764", "Ukiah - Library"
"029", "95482", "CA", "Ukiah", "306 E. Gobbi St", "-123.20298", "39.14566", "23769", "Ukiah - Gobbi Street"
"069", "95340", "CA", "Merced", "2334 M Street", "-120.48047", "37.30833", "24510", "Merced M Street"
"069", "95340", "CA", "Merced", "385 S. Coffee St.", "-120.43368", "37.28177", "24528", "Merced - Coffee Road"
"022", "93541", "CA", "Lee Vining", "Simis Hwy 395", "-119.12026", "37.95968", "26779", "Lee Vining-SMS"
"022", "93546", "CA", "Mammoth Lakes", "Hwy 203 and Old Mammoth Rd", "-118.96651", "37.64571", "26785", "Mammoth Lakes-Gateway HC"
"011", "93924", "CA", "Carmel Valley", "34 Ford Rd", "-121.73333", "36.48187", "27550", "Carmel Valley-Ford Road"
"011", "93901", "CA", "Salinas", "855 E Laurel Dr", "-121.62327", "36.69426", "27554", "Salinas #3"
"004", "94558", "CA", "Napa", "2552 Jefferson Av", "-122.29616", "38.31097", "28783", "Napa-Jefferson Avenue"
"051", "96161", "CA", "Truckee", "10049 Donner Pass Rd", "-120.18459", "39.32782", "29794", "Truckee - Fire Station"
"051", "95945", "CA", "Grass Valley", "200 Litton Dr., Suite 230", "-121.05567", "39.23352", "29800", "Grass Valley-Litton Building"
"001", "95959", "CA", "Nevada City", "26533 CA State Hwy 20", "-120.84527", "39.31779", "29802", "White Cloud (seasonal)"
"061", "92691", "CA", "Mission Viejo", "26081 Via Pera", "-117.67588", "33.63005", "30002", "Mission Viejo"
"061", "90631", "CA", "La Habra", "621 W. Lambert", "-117.95259", "33.92505", "30177", "La Habra"
